ttc,fuzzy,metric,os_speed,ts_speed,os_maneuverability,ts_maneuverability
1080.0000000933044,48.05589095775097,0.0504322281237039,5.0,15.0,13.3,29.9
720.0000000622031,48.05306249020114,0.1071453499879345,10.0,20.0,13.3,29.9
720.0000000622031,48.05306249020114,0.106423644866763,20.0,10.0,29.9,13.3
1080.0000000933044,48.04854917256555,0.1110731221794963,5.0,15.0,21.6,29.9
1080.0000000933044,48.04854917256555,0.1113831361799065,15.0,5.0,29.9,21.6
720.0000000622031,48.04571521448153,0.137697338191501,10.0,20.0,21.6,29.9
720.0000000622031,48.04571521448153,0.1421420355416625,20.0,10.0,29.9,21.6
864.0000000746437,47.86825760154353,0.0535763791007152,20.0,5.0,21.6,21.6
864.0000000746437,47.86825760154353,0.0572949287432009,5.0,20.0,21.6,21.6
864.0000000746437,47.85936030103464,0.0415892021374108,20.0,5.0,21.6,13.3
864.0000000746437,47.85936030103464,0.0554309094933966,5.0,20.0,13.3,21.6
1080.0000000933044,46.63385408876326,0.1495848387716618,5.0,15.0,29.9,29.9
1080.0000000933044,46.63385408876326,0.14904087087994,15.0,5.0,29.9,29.9
720.0000000622031,46.625143732877284,0.1598814442565758,20.0,10.0,29.9,29.9
720.0000000622031,46.625143732877284,0.1587642210621651,10.0,20.0,29.9,29.9
1080.0000000933044,46.378075662134485,0.0363047032084233,15.0,5.0,29.9,5.0
1080.0000000933044,46.378075662134485,0.0508075928554537,5.0,15.0,5.0,29.9
720.0000000622031,46.36847450780717,0.0789484332716294,10.0,20.0,5.0,29.9
720.0000000622031,46.36847450780717,0.0788631689564818,20.0,10.0,29.9,5.0
864.0000000746437,46.2612651773865,0.0715170908664142,20.0,5.0,21.6,29.9
864.0000000746437,46.2612651773865,0.072906611249505,5.0,20.0,29.9,21.6
864.0000000746437,46.21999501647304,0.0413996846156553,20.0,5.0,21.6,5.0
864.0000000746437,46.21999501647304,0.0556273572107029,5.0,20.0,5.0,21.6
864.0000000746437,33.853031334070515,0.074339470412908,5.0,20.0,29.9,29.9
864.0000000746437,33.853031334070515,0.0751137468127022,20.0,5.0,29.9,29.9
864.0000000746437,33.69793019823479,0.0450644531204143,5.0,20.0,13.3,29.9
864.0000000746437,33.69793019823479,0.0312286068951509,20.0,5.0,29.9,13.3
864.0000000746437,33.69726725310871,0.0448541778683223,5.0,20.0,21.6,29.9
864.0000000746437,33.69726725310871,0.0311895449606475,20.0,5.0,29.9,21.6
864.0000000746437,33.59729778767664,0.0453157959745514,5.0,20.0,5.0,29.9
864.0000000746437,33.59729778767664,0.0310225564568999,20.0,5.0,29.9,5.0
